epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,535.155,0.78434,1.95669,1.07552,1.34451,0.69777,0.74006,0.76878,0.47971,0.73285,0.67884,0.71072,0.38942,1.31563,2.99767,1.18713,2.0349,0.000990365,0.000990365,0.000990365
43,548.586,0.81131,1.96656,1.1004,1.34244,0.79887,0.75177,0.82056,0.52877,0.75628,0.72191,0.74842,0.43602,1.38062,3.0587,1.32345,2.10398,0.000973861,0.000973861,0.000973861
44,562.005,0.7754,1.88302,1.04245,1.33971,0.77745,0.76208,0.76024,0.49748,0.72743,0.73147,0.69776,0.39311,1.41556,3.06027,1.28757,2.174,0.000957358,0.000957358,0.000957358
45,575.474,0.78486,1.87601,1.09611,1.33286,0.86963,0.72754,0.78957,0.51462,0.83453,0.73147,0.75027,0.40972,1.41712,3.13789,1.16227,2.08268,0.000940855,0.000940855,0.000940855
46,588.972,0.75257,1.80415,1.04073,1.29291,0.81632,0.72986,0.77182,0.49719,0.78124,0.69925,0.70565,0.40394,1.36043,3.19723,1.26484,2.11633,0.000924352,0.000924352,0.000924352
47,602.441,0.78514,1.90853,1.03047,1.32212,0.80166,0.73432,0.77469,0.53613,0.77714,0.71599,0.7234,0.44594,1.36296,3.43272,1.40265,2.10909,0.000907848,0.000907848,0.000907848
48,615.937,0.72779,1.84225,1.00423,1.28171,0.8072,0.79949,0.83236,0.54061,0.86305,0.69555,0.76689,0.44893,1.35024,3.02167,1.24735,2.0138,0.000891345,0.000891345,0.000891345
49,629.582,0.74701,1.88212,0.99611,1.30226,0.80939,0.64823,0.73716,0.50568,0.78156,0.62782,0.6963,0.40593,1.5618,3.54598,1.39846,2.31911,0.000874842,0.000874842,0.000874842
50,643.092,0.76356,1.9651,1.0709,1.33378,0.77123,0.77995,0.81317,0.57878,0.8479,0.66378,0.75407,0.47651,1.31261,3.14285,1.24583,2.06779,0.000858338,0.000858338,0.000858338
51,656.645,0.77158,1.88281,1.08536,1.31801,0.78831,0.72317,0.78379,0.55944,0.70428,0.77046,0.75905,0.44893,1.30467,3.04755,1.10053,2.01392,0.000841835,0.000841835,0.000841835
52,670.174,0.73875,1.75702,0.98415,1.28949,0.831,0.7824,0.81386,0.55277,0.80009,0.72958,0.7827,0.45036,1.35905,3.00667,1.2255,2.08953,0.000825332,0.000825332,0.000825332
53,683.614,0.70995,1.71888,0.95716,1.27177,0.80391,0.74852,0.78221,0.54353,0.75458,0.70031,0.71999,0.44645,1.36761,3.17472,1.28487,2.06055,0.000808828,0.000808828,0.000808828
54,697.077,0.76862,1.84132,1.02888,1.30444,0.82903,0.71573,0.7879,0.57728,0.78831,0.68624,0.73929,0.47054,1.27522,2.87293,1.26512,1.93898,0.000792325,0.000792325,0.000792325
55,710.554,0.7627,1.75826,0.98156,1.31514,0.84546,0.72695,0.80115,0.53505,0.80192,0.69767,0.72384,0.45637,1.21515,3.1633,1.2858,1.89131,0.000775822,0.000775822,0.000775822
56,723.957,0.7028,1.83258,0.97982,1.26561,0.80311,0.8029,0.82668,0.61047,0.78059,0.78249,0.7746,0.5061,1.18238,3.20251,1.01807,1.88825,0.000759318,0.000759318,0.000759318
57,737.426,0.71493,1.75956,0.9931,1.27781,0.88124,0.74168,0.84321,0.62487,0.85201,0.72127,0.7927,0.52876,1.18191,3.06167,1.03437,1.85214,0.000742815,0.000742815,0.000742815
58,751.039,0.69333,1.68039,0.90698,1.25962,0.8174,0.79946,0.80751,0.56022,0.78279,0.76916,0.74531,0.45973,1.21757,3.23224,1.08775,1.89956,0.000726312,0.000726312,0.000726312
59,764.501,0.68544,1.61773,0.91761,1.25343,0.8562,0.78882,0.79151,0.54032,0.81159,0.75231,0.72972,0.4493,1.17716,3.19497,1.0179,1.85443,0.000709809,0.000709809,0.000709809
